Mon,Year,Temp
1,1980,5.95
1,1981,4.7
1,1982,7.56
1,1983,7.52
1,1984,7.05
1,1985,4.16
1,1986,6.84
1,1987,5.75
1,1988,8.81
1,1989,6.38
1,1990,6.66
1,1991,6.84
1,1992,6.46
1,1993,7.08
1,1994,8.4
1,1995,6.65
1,1996,8.17
1,1997,8.05
1,1998,7.87
1,1999,7.27
1,2000,6.05
1,2001,8.4
1,2002,5.85
1,2003,7.58
1,2004,6.65
1,2005,6.15
1,2006,5.68
1,2007,9.42
1,2008,8.4
1,2009,6.81
1,2010,6.21
1,2011,7.17
1,2012,6.94
1,2013,7.57
1,2014,9.0
1,2015,8.12
1,2016,8.29
1,2017,5.47
1,2018,9.49
1,2019,6.25
1,2020,8.1
2,1980,7.93
2,1981,6.16
2,1982,6.51
2,1983,5.64
2,1984,6.47
2,1985,7.14
2,1986,5.55
2,1987,7.25
2,1988,7.99
2,1989,8.46
2,1990,10.23
2,1991,6.24
2,1992,7.58
2,1993,6.4
2,1994,7.53
2,1995,9.52
2,1996,6.59
2,1997,8.99
2,1998,9.26
2,1999,6.74
2,2000,8.43
2,2001,8.61
2,2002,9.55
2,2003,5.23
2,2004,7.89
2,2005,5.44
2,2006,7.1
2,2007,9.74
2,2008,8.17
2,2009,7.08
2,2010,7.62
2,2011,7.93
2,2012,4.91
2,2013,5.59
2,2014,9.98
2,2015,7.53
2,2016,10.29
2,2017,9.53
2,2018,6.75
2,2019,8.66
2,2020,10.23
3,1980,9.5
3,1981,10.87
3,1982,8.8
3,1983,9.86
3,1984,8.65
3,1985,9.17
3,1986,9.7
3,1987,6.87
3,1988,9.81
3,1989,11.76
3,1990,11.3
3,1991,11.94
3,1992,10.06
3,1993,8.71
3,1994,12.02
3,1995,9.22
3,1996,9.0
3,1997,11.35
3,1998,9.81
3,1999,10.41
3,2000,10.8
3,2001,12.54
3,2002,11.84
3,2003,10.22
3,2004,9.37
3,2005,9.59
3,2006,9.46
3,2007,11.03
3,2008,10.52
3,2009,10.45
3,2010,9.86
3,2011,10.14
3,2012,11.97
3,2013,9.82
3,2014,11.13
3,2015,10.77
3,2016,10.59
3,2017,12.09
3,2018,9.97
3,2019,11.58
3,2020,10.49
4,1980,10.88
4,1981,13.44
4,1982,12.03
4,1983,12.71
4,1984,11.8
4,1985,12.9
4,1986,12.33
4,1987,12.72
4,1988,13.04
4,1989,12.67
4,1990,12.27
4,1991,11.43
4,1992,12.72
4,1993,12.82
4,1994,12.25
4,1995,12.39
4,1996,13.14
4,1997,11.78
4,1998,13.16
4,1999,13.28
4,2000,13.8
4,2001,12.47
4,2002,13.25
4,2003,12.71
4,2004,12.97
4,2005,12.6
4,2006,13.86
4,2007,15.39
4,2008,13.28
4,2009,13.87
4,2010,13.63
4,2011,14.86
4,2012,13.25
4,2013,14.3
4,2014,14.16
4,2015,13.62
4,2016,14.91
4,2017,13.89
4,2018,15.54
4,2019,13.38
4,2020,13.84
5,1980,14.41
5,1981,15.89
5,1982,16.61
5,1983,16.13
5,1984,14.64
5,1985,16.37
5,1986,18.36
5,1987,14.93
5,1988,17.38
5,1989,16.63
5,1990,17.38
5,1991,14.08
5,1992,17.48
5,1993,17.58
5,1994,17.41
5,1995,16.38
5,1996,16.81
